;weak impact;strong impact
Brazil;5;4
Canada;10;15
China;-24;-29
Croatia;97;128
Denmark;88;97
Finland;99;104
France;10;-3
Germany;0;-2
Hong Kong SAR, China;85;80
Hungary;84;87
Iceland;161;146
India;-2;-1
Indonesia;-1;-24
Iran, Islamic Rep.;10;12
Israel;65;83
Italy;-5;8
Japan;4;3
Korea, Rep.;23;14
Mexico;-12;-8
Netherlands;38;45
Norway;108;104
Philippines;-11;-6
Poland;13;31
Romania;51;59
Russian Federation;-1;-23
South Africa;11;4
Spain;15;4
Sweden;68;74
Turkiye;-3;11
United Arab Emirates;92;92
United Kingdom;-2;-5
United States;2;-26
